number,last_update,available_bikes,available_bike_stands,status
1,"2025-04-02 15:14:38",3,28,OPEN
2,"2025-04-02 15:18:07",6,14,OPEN
3,"2025-04-02 15:19:59",14,6,OPEN
4,"2025-04-02 15:16:09",8,12,OPEN
5,"2025-04-02 15:20:24",3,37,OPEN
6,"2025-04-02 15:14:52",1,18,OPEN
7,"2025-04-02 15:20:19",7,22,OPEN
8,"2025-04-02 15:16:56",22,8,OPEN
9,"2025-04-02 15:20:04",23,1,OPEN
10,"2025-04-02 15:17:55",12,4,OPEN
11,"2025-04-02 15:15:53",19,11,OPEN
12,"2025-04-02 15:14:44",2,18,OPEN
13,"2025-04-02 15:13:25",16,14,OPEN
14,"2025-04-02 15:20:35",18,12,OPEN
15,"2025-04-02 15:16:30",0,16,OPEN
16,"2025-04-02 15:15:02",5,15,OPEN
17,"2025-04-02 15:14:07",1,19,OPEN
18,"2025-04-02 15:16:47",1,29,OPEN
19,"2025-04-02 15:20:30",15,15,OPEN
20,"2025-04-02 15:19:56",14,16,OPEN
21,"2025-04-02 15:15:54",18,12,OPEN
22,"2025-04-02 15:19:22",15,5,OPEN
23,"2025-04-02 15:17:22",7,23,OPEN
24,"2025-04-02 15:19:31",7,13,OPEN
25,"2025-04-02 15:19:14",14,16,OPEN
26,"2025-04-02 15:18:30",10,10,OPEN
27,"2025-04-02 15:16:01",13,7,OPEN
28,"2025-04-02 15:17:16",11,19,OPEN
29,"2025-04-02 15:19:25",1,28,OPEN
30,"2025-04-02 15:20:23",10,10,OPEN
31,"2025-04-02 15:17:40",1,19,OPEN
32,"2025-04-02 15:19:41",16,14,OPEN
33,"2025-04-02 15:19:49",13,10,OPEN
34,"2025-04-02 15:16:00",11,19,OPEN
35,"2025-04-02 15:17:59",4,26,OPEN
36,"2025-04-02 15:13:30",21,19,OPEN
37,"2025-04-02 15:13:18",6,24,OPEN
38,"2025-04-02 15:19:56",28,12,OPEN
39,"2025-04-02 15:17:50",9,11,OPEN
40,"2025-04-02 15:17:39",6,15,OPEN
41,"2025-04-02 15:12:37",0,20,OPEN
42,"2025-04-02 15:20:18",9,21,OPEN
43,"2025-04-02 15:16:33",2,28,OPEN
44,"2025-04-02 15:19:07",5,25,OPEN
45,"2025-04-02 15:10:53",1,29,OPEN
47,"2025-04-02 15:18:37",14,26,OPEN
48,"2025-04-02 15:15:19",9,31,OPEN
49,"2025-04-02 15:18:10",26,14,OPEN
50,"2025-04-02 15:19:40",9,31,OPEN
51,"2025-04-02 15:14:26",0,0,OPEN
52,"2025-04-02 15:15:44",7,25,OPEN
53,"2025-04-02 15:16:50",14,26,OPEN
54,"2025-04-02 15:18:01",8,25,OPEN
55,"2025-04-02 15:19:44",2,34,OPEN
56,"2025-04-02 15:18:32",21,19,OPEN
57,"2025-04-02 15:12:58",8,15,OPEN
58,"2025-04-02 15:20:00",26,14,OPEN
59,"2025-04-02 15:16:02",15,5,OPEN
60,"2025-04-02 15:11:49",16,14,OPEN
61,"2025-04-02 15:11:37",0,25,OPEN
62,"2025-04-02 15:15:32",33,7,OPEN
63,"2025-04-02 15:16:46",18,17,OPEN
64,"2025-04-02 15:17:15",14,26,OPEN
65,"2025-04-02 15:17:48",18,22,OPEN
66,"2025-04-02 15:18:49",13,27,OPEN
67,"2025-04-02 15:11:49",6,33,OPEN
68,"2025-04-02 15:19:00",25,15,OPEN
69,"2025-04-02 15:20:39",15,25,OPEN
71,"2025-04-02 15:15:32",7,33,OPEN
72,"2025-04-02 15:20:05",0,31,OPEN
73,"2025-04-02 15:19:14",10,20,OPEN
74,"2025-04-02 15:15:51",0,30,OPEN
75,"2025-04-02 15:20:23",15,25,OPEN
76,"2025-04-02 15:13:33",1,37,OPEN
77,"2025-04-02 15:17:59",9,20,OPEN
78,"2025-04-02 15:19:19",3,37,OPEN
79,"2025-04-02 15:15:19",0,27,OPEN
80,"2025-04-02 15:17:37",23,17,OPEN
82,"2025-04-02 15:19:49",5,17,OPEN
83,"2025-04-02 15:14:50",15,25,OPEN
84,"2025-04-02 15:14:53",8,22,OPEN
85,"2025-04-02 15:18:56",23,12,OPEN
86,"2025-04-02 15:18:31",9,29,OPEN
87,"2025-04-02 15:13:29",0,38,OPEN
88,"2025-04-02 15:16:47",4,26,OPEN
89,"2025-04-02 15:16:46",3,37,OPEN
90,"2025-04-02 15:18:22",10,30,OPEN
91,"2025-04-02 15:19:17",20,10,OPEN
92,"2025-04-02 15:18:32",13,27,OPEN
93,"2025-04-02 15:14:26",0,40,OPEN
94,"2025-04-02 15:17:50",1,39,OPEN
95,"2025-04-02 15:19:48",23,17,OPEN
96,"2025-04-02 15:19:10",10,20,OPEN
97,"2025-04-02 15:15:51",16,24,OPEN
98,"2025-04-02 15:13:02",38,2,OPEN
99,"2025-04-02 15:20:16",29,1,OPEN
100,"2025-04-02 15:19:40",21,4,OPEN
101,"2025-04-02 15:12:35",0,30,OPEN
102,"2025-04-02 15:18:47",17,23,OPEN
103,"2025-04-02 15:15:58",5,35,OPEN
104,"2025-04-02 15:17:51",8,32,OPEN
105,"2025-04-02 15:17:37",0,36,OPEN
106,"2025-04-02 15:12:48",14,26,OPEN
107,"2025-04-02 15:17:35",10,30,OPEN
108,"2025-04-02 15:12:58",18,17,OPEN
109,"2025-04-02 15:20:16",6,23,OPEN
110,"2025-04-02 15:20:33",10,30,OPEN
111,"2025-04-02 15:16:49",0,40,OPEN
112,"2025-04-02 15:17:34",14,16,OPEN
113,"2025-04-02 15:14:19",22,18,OPEN
114,"2025-04-02 15:19:40",1,39,OPEN
115,"2025-04-02 15:17:40",0,30,OPEN
116,"2025-04-02 15:16:19",27,3,OPEN
117,"2025-04-02 15:17:56",31,9,OPEN
