dt,future_dt,humidity,pop,pressure,temp_max,temp_min,uvi,weather_id,wind_speed,wind_gust,rain,snow
"2025-04-02 15:46:20","2025-04-02 12:00:00",63,0,1023,12.86,5.53,3.97,800,6.91,14.05,0,0
"2025-04-02 15:46:20","2025-04-03 12:00:00",80,0.84,1022,12.26,6.4,3.36,500,6.89,14.46,0.72,0
"2025-04-02 15:46:20","2025-04-04 12:00:00",81,0.99,1023,13.33,8.57,2.69,500,6.4,14.98,0.55,0
"2025-04-02 15:46:20","2025-04-05 12:00:00",69,0,1025,10.65,5.94,3.27,800,6.37,12.43,0,0
"2025-04-02 15:46:20","2025-04-06 12:00:00",52,0,1023,12.77,5.68,3.8,803,4.18,7.16,0,0
"2025-04-02 15:46:20","2025-04-07 12:00:00",41,0,1027,14.52,6.31,4,804,3.71,4.54,0,0
"2025-04-02 15:46:20","2025-04-08 12:00:00",49,0,1031,14.88,5.2,4,802,2.61,2.86,0,0
"2025-04-02 15:46:20","2025-04-09 12:00:00",57,0,1033,14.51,6.07,4,801,2.46,3.13,0,0
"2025-04-02 15:47:21","2025-04-02 12:00:00",63,0,1023,12.86,5.53,3.97,800,6.91,14.05,0,0
"2025-04-02 15:47:21","2025-04-03 12:00:00",80,0.84,1022,12.26,6.4,3.36,500,6.89,14.46,0.72,0
"2025-04-02 15:47:21","2025-04-04 12:00:00",81,0.99,1023,13.33,8.57,2.69,500,6.4,14.98,0.55,0
"2025-04-02 15:47:21","2025-04-05 12:00:00",69,0,1025,10.65,5.94,3.27,800,6.37,12.43,0,0
"2025-04-02 15:47:21","2025-04-06 12:00:00",52,0,1023,12.77,5.68,3.8,803,4.18,7.16,0,0
"2025-04-02 15:47:21","2025-04-07 12:00:00",41,0,1027,14.52,6.31,4,804,3.71,4.54,0,0
"2025-04-02 15:47:21","2025-04-08 12:00:00",49,0,1031,14.88,5.2,4,802,2.61,2.86,0,0
"2025-04-02 15:47:21","2025-04-09 12:00:00",57,0,1033,14.51,6.07,4,801,2.46,3.13,0,0
