dt,future_dt,feels_like,humidity,pop,pressure,temp,uvi,weather_id,wind_speed,wind_gust,rain_1h,snow_1h
"2025-04-02 15:46:20","2025-04-02 15:00:00",11.28,70,0,1022,12.18,2.3,800,3.99,5.9,0,0
"2025-04-02 15:46:20","2025-04-02 16:00:00",11.02,70,0,1022,11.94,1.28,800,3.72,5.92,0,0
"2025-04-02 15:46:20","2025-04-02 17:00:00",10.98,70,0,1022,11.91,0.57,800,3.54,6.65,0,0
"2025-04-02 15:46:20","2025-04-02 18:00:00",10.56,73,0,1022,11.45,0.17,800,3.22,8.43,0,0
"2025-04-02 15:46:20","2025-04-02 19:00:00",9.66,78,0,1023,10.52,0,800,3.32,5.61,0,0
"2025-04-02 15:46:20","2025-04-02 20:00:00",7.98,82,0,1023,9.92,0,800,3.84,9.28,0,0
"2025-04-02 15:46:20","2025-04-02 21:00:00",5.21,87,0,1024,7.8,0,800,4.17,10.35,0,0
"2025-04-02 15:46:20","2025-04-02 22:00:00",2.5,88,0,1024,5.53,0,800,4.02,8.19,0,0
"2025-04-02 15:46:20","2025-04-02 23:00:00",4.54,89,0,1024,7.11,0,800,3.83,7.07,0,0
"2025-04-02 15:46:20","2025-04-03 00:00:00",5.75,90,0,1024,8.14,0,800,3.93,7.68,0,0
"2025-04-02 15:46:20","2025-04-03 01:00:00",6.1,91,0,1024,8.39,0,800,3.85,7.6,0,0
"2025-04-02 15:46:20","2025-04-03 02:00:00",5.93,92,0,1023,8.19,0,800,3.7,7.25,0,0
"2025-04-02 15:46:20","2025-04-03 03:00:00",5.52,93,0,1023,7.85,0,800,3.69,7.09,0,0
"2025-04-02 15:46:20","2025-04-03 04:00:00",5.03,93,0,1023,7.44,0,800,3.68,6.88,0,0
"2025-04-02 15:46:20","2025-04-03 05:00:00",4.66,93,0,1023,7.21,0,800,3.84,7.14,0,0
"2025-04-02 15:46:20","2025-04-03 06:00:00",3.43,93,0,1023,6.4,0,801,4.28,7.76,0,0
"2025-04-02 15:46:20","2025-04-03 07:00:00",4.81,91,0,1023,7.68,0.2,802,4.72,10.49,0,0
"2025-04-02 15:46:20","2025-04-03 08:00:00",5.69,87,0,1023,8.66,0.62,803,5.57,10.92,0,0
"2025-04-02 15:46:20","2025-04-03 09:00:00",6.1,85,0,1022,9.12,0.82,803,6.06,10.63,0,0
"2025-04-02 15:46:20","2025-04-03 10:00:00",6.74,83,0,1022,9.66,1.68,803,6.22,10,0,0
"2025-04-02 15:46:20","2025-04-03 11:00:00",9.27,81,0,1022,10.09,2.92,803,6.19,9.76,0,0
"2025-04-02 15:46:20","2025-04-03 12:00:00",9.71,80,0,1022,10.51,3.35,803,6.03,9.52,0,0
"2025-04-02 15:46:20","2025-04-03 13:00:00",10.38,78,0,1021,11.17,3.36,803,6.12,9.82,0,0
"2025-04-02 15:46:20","2025-04-03 14:00:00",11.11,74,0,1021,11.93,2.79,802,6.37,10.9,0,0
"2025-04-02 15:46:20","2025-04-03 15:00:00",11.45,73,0,1020,12.26,1.97,802,6.89,11.91,0,0
"2025-04-02 15:46:20","2025-04-03 16:00:00",11.44,74,0,1019,12.23,1.13,802,6.48,11.74,0,0
"2025-04-02 15:46:20","2025-04-03 17:00:00",10.56,79,0,1019,11.31,0.24,802,5.35,11.68,0,0
"2025-04-02 15:46:20","2025-04-03 18:00:00",9.63,85,0,1019,10.32,0.14,803,4.52,12.44,0,0
"2025-04-02 15:46:20","2025-04-03 19:00:00",9.63,88,0.68,1019,10.25,0,500,4.6,13.17,0.15,0
"2025-04-02 15:46:20","2025-04-03 20:00:00",9.94,87,0.67,1019,10.56,0,500,5.68,14.46,0.14,0
"2025-04-02 15:46:20","2025-04-03 21:00:00",10.52,85,0.25,1019,11.13,0,804,6.72,14.39,0,0
"2025-04-02 15:46:20","2025-04-03 22:00:00",9.99,90,0.84,1019,10.53,0,500,5.94,13.56,0.43,0
"2025-04-02 15:46:20","2025-04-03 23:00:00",9.81,90,0.99,1019,10.37,0,500,5.95,14.02,0.37,0
"2025-04-02 15:46:20","2025-04-04 00:00:00",9.8,90,0.98,1019,10.36,0,500,5.85,13.87,0.18,0
"2025-04-02 15:46:20","2025-04-04 01:00:00",9.87,91,0,1019,10.4,0,804,5.32,13.59,0,0
"2025-04-02 15:46:20","2025-04-04 02:00:00",10.16,91,0,1019,10.66,0,804,5.1,12.28,0,0
"2025-04-02 15:46:20","2025-04-04 03:00:00",9.68,93,0,1020,10.18,0,804,3.97,10.13,0,0
"2025-04-02 15:46:20","2025-04-04 04:00:00",7.79,95,0,1020,9.78,0,804,3.87,9.42,0,0
"2025-04-02 15:46:20","2025-04-04 05:00:00",7.89,95,0,1020,9.75,0,804,3.6,8.17,0,0
"2025-04-02 15:46:20","2025-04-04 06:00:00",6.7,98,0,1021,8.57,0,804,3.15,5.81,0,0
"2025-04-02 15:46:20","2025-04-04 07:00:00",8.17,96,0,1022,9.41,0.08,804,2.44,6.04,0,0
"2025-04-02 15:46:20","2025-04-04 08:00:00",10.06,92,0,1022,10.55,0.19,804,2.41,4.24,0,0
